CODIGO;CTA_AHORRO;SALDO_AHORRO;CTA_PLAZO;SALDO_PLAZO;CTA_FONDO;SALDO_FONDO;CTA_CTS;SALDO_CTS;CTA_PRESTAMO;SALDO_PRESTAMO;CTA_HIPOTECARIO;SALDO_HIPOTECARIO;CTA_TARJETA;SALDO_TARJETA
69238002302;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69238002542;0;0;0;0;0;0;1;118;0;0;0;0;0;0
69238003773;0;0;0;0;0;0;0;0;0;0;0;0;1;0
69238003803;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238005235;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238005995;0;0;0;0;0;0;1;23;0;0;0;0;0;0
69238006616;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69238007687;1;65;0;0;0;0;0;0;0;0;0;0;0;0
69238007787;1;87;0;0;0;0;0;0;0;0;0;0;0;0
69238008988;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238009189;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238009869;1;37;0;0;0;0;1;0;0;0;0;0;0;0
269235247967;1;21;0;0;0;0;0;0;0;0;0;0;0;0
269235250560;2;901;0;0;0;0;1;81;0;0;0;0;0;0
269235251051;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235251551;1;3893;0;0;0;0;0;0;0;0;0;0;0;0
269235251991;1;3;0;0;0;0;0;0;0;0;0;0;0;0
269235252832;1;79;0;0;0;0;0;0;0;0;0;0;0;0
269235233683;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235234344;1;1248;0;0;0;0;0;0;0;0;0;0;0;0
269235235835;2;76;0;0;0;0;0;0;0;0;0;0;0;0
269235238058;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235238488;1;12;0;0;0;0;0;0;0;0;0;0;0;0
269235241921;1;344;0;0;0;0;1;0;0;0;0;0;0;0
269235221371;3;9707;0;0;0;0;1;439;0;0;0;0;0;0
269235221451;2;190;0;0;0;0;0;0;0;0;0;0;0;0
269235222652;1;563;0;0;0;0;0;0;0;0;0;0;0;0
269235223753;1;2;0;0;0;0;0;0;0;0;0;0;0;0
269235224364;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235224864;1;175;0;0;0;0;0;0;0;0;0;0;0;0
269235224934;1;203;0;0;0;0;0;0;0;0;0;0;1;0
269235225035;1;9000;0;0;0;0;0;0;0;0;0;0;1;3194
269235226876;1;47;0;0;0;0;1;237;0;0;0;0;0;0
269235227167;1;3006;1;10050;0;0;0;0;0;0;0;0;0;0
269235228378;0;0;0;0;0;0;0;0;0;0;0;0;1;0
269235228928;2;1;0;0;0;0;0;0;0;0;0;0;0;0
269235212162;0;0;0;0;0;0;1;152;0;0;0;0;0;0
269235213793;1;0;0;0;2;0;0;0;0;0;0;0;0;0
269235214424;1;0;0;0;0;0;0;0;0;0;0;0;0;0
269235215125;1;50;0;0;0;0;0;0;0;0;0;0;0;0
269235215165;1;40;0;0;0;0;0;0;0;0;0;0;0;0
269235215435;2;0;0;0;0;0;1;0;0;0;0;0;0;0
269235216026;1;151;0;0;0;0;0;0;0;0;0;0;0;0
669236623203;1;599;0;0;0;0;0;0;0;0;0;0;0;0
669236624164;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669236628198;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669236604664;1;38;0;0;0;0;0;0;0;0;0;0;0;0
669236606466;1;94;0;0;0;0;0;0;0;0;0;0;0;0
669236608808;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669236610250;0;0;0;0;0;0;1;228;0;0;0;0;0;0
669237677447;1;18424;0;0;0;0;0;0;0;0;0;0;0;0
669237658958;1;5;0;0;0;0;1;0;0;0;0;0;0;0
669237659069;0;0;0;0;0;0;0;0;0;0;0;0;1;1336
669237659149;1;50;0;0;0;0;1;0;0;0;0;0;0;0
669237661381;0;0;0;0;0;0;0;0;0;0;0;0;1;3390
669237663143;1;20;0;0;0;0;0;0;0;0;0;0;0;0
669237663353;1;104;0;0;0;0;0;0;0;0;0;0;0;0
669237663493;1;34;0;0;0;0;0;0;0;0;0;0;0;0
669237663683;1;23;0;0;0;0;0;0;0;0;0;0;0;0
669237664674;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669237665415;0;0;1;2000;0;0;0;0;0;0;0;0;0;0
669237666196;1;184;0;0;0;0;0;0;0;0;0;0;0;0
669237666256;1;424;0;0;0;0;0;0;0;0;0;0;0;0
669237666806;0;0;1;28000;0;0;0;0;0;0;0;0;0;0
669237667317;1;5220;0;0;0;0;0;0;0;0;0;0;0;0
669237649299;1;28;0;0;0;0;0;0;0;0;0;0;0;0
669237649449;2;38;0;0;0;0;1;0;0;0;0;0;0;0
669237650800;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669237652242;1;63;0;0;0;0;1;0;0;0;0;0;0;0
69238006766;1;40;0;0;0;0;0;0;0;0;0;0;0;0
69238007017;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238007587;1;48;0;0;0;0;0;0;0;0;0;0;0;0
69238009409;0;0;0;0;0;0;1;148;0;0;0;0;0;0
69238009839;1;40;0;0;0;0;0;0;0;0;0;0;0;0
69238010020;1;0;0;0;0;0;0;0;0;0;0;0;0;0
969237992622;0;0;0;0;0;0;1;58;0;0;0;0;0;0
969237992802;0;0;0;0;0;0;1;39;0;0;0;0;0;0
969237993253;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237993623;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237995055;0;0;0;0;0;0;1;23;0;0;0;0;0;0
969237995295;0;0;0;0;0;0;1;46;0;0;0;0;0;0
969237995475;0;0;0;0;0;0;1;46;0;0;0;0;0;0
969237995695;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237997167;0;0;0;0;0;0;0;0;0;0;0;0;1;0
969237997287;0;0;0;0;0;0;0;0;0;0;0;0;1;0
969237997517;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237997977;1;22;0;0;0;0;1;82;0;0;0;0;0;0
969237998238;1;25;0;0;0;0;1;0;0;0;0;0;0;0
969237999199;1;64;0;0;0;0;1;0;0;0;0;0;0;0
969237999249;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237999369;1;58;0;0;0;0;0;0;0;0;0;0;0;0
69238000330;0;0;0;0;0;0;1;0;0;0;0;0;0;0
69238000610;1;13;0;0;0;0;0;0;0;0;0;0;0;0
969237983093;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237983803;1;0;0;0;0;0;0;0;0;0;0;0;0;0
969237985115;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237987247;1;2;0;0;0;0;0;0;0;0;0;0;0;0
969237987957;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237988988;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237991431;0;0;0;0;0;0;0;0;0;0;0;0;1;0
969237991481;0;0;0;0;0;0;0;0;0;0;0;0;1;57
969237991711;0;0;0;0;0;0;0;0;0;0;0;0;1;0
969237972782;1;178;0;0;0;0;1;0;0;0;0;0;0;0
969237973353;1;90;0;0;0;0;1;0;0;0;0;0;0;0
969237974604;1;0;0;0;0;0;1;0;0;0;0;0;0;0
969237975805;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969237976696;1;10277;0;0;0;0;0;0;0;0;0;0;0;0
469237460370;1;634;0;0;0;0;0;0;0;0;0;0;0;0
469237460600;1;48;0;0;0;0;0;0;0;0;0;0;0;0
469237461261;0;0;0;0;0;0;0;0;0;0;0;0;1;0
469237461701;1;0;0;0;0;0;0;0;0;0;0;0;0;0
469237461741;1;97;0;0;0;0;0;0;0;0;0;0;0;0
469237467707;1;0;0;0;0;0;0;0;0;0;0;0;0;0
469237468378;1;34;0;0;0;0;0;0;0;0;0;0;0;0
469237452792;1;46;0;0;0;0;0;0;0;0;0;0;0;0
469237454374;1;1445;0;0;0;0;0;0;0;0;0;0;0;0
469237456156;1;26;0;0;0;0;0;0;0;0;0;0;0;0
469237457807;1;9;0;0;0;0;1;0;0;0;0;0;0;0
469237458148;1;2;0;0;0;0;0;0;0;0;0;0;0;0
469237458348;1;1102;0;0;0;0;0;0;0;0;0;0;0;0
469237458848;1;143;0;0;0;0;0;0;0;0;0;0;0;0
469237440730;1;0;0;0;0;0;0;0;0;0;0;0;0;0
469237441691;2;464;0;0;0;0;0;0;0;0;0;0;0;0
469237442132;1;15;0;0;0;0;1;36;0;0;0;0;0;0
769235706516;1;11;0;0;0;0;0;0;0;0;0;0;0;0
669235685195;1;35;0;0;0;0;0;0;0;0;0;0;0;0
669235685465;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235686126;0;0;0;0;0;0;0;0;0;0;0;0;1;371
669235687057;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669235687387;0;0;0;0;0;0;0;0;0;0;0;0;2;0
669235687777;0;0;0;0;0;0;0;0;0;0;0;0;2;1255
669235688098;0;0;0;0;0;0;0;0;0;0;0;0;2;0
669235688628;1;2511;0;0;0;0;0;0;0;0;0;0;0;0
669235690610;0;0;0;0;0;0;0;0;0;0;0;0;1;995
669235692102;1;5670;0;0;0;0;0;0;0;0;0;0;0;0
669235692892;1;385;0;0;0;0;1;427;0;0;0;0;0;0
669235693413;2;611;0;0;0;0;1;0;0;0;0;0;0;0
669235673733;1;409;0;0;0;0;1;0;0;0;0;0;0;0
669235674314;0;0;0;0;0;0;1;216;0;0;0;0;0;0
669235675165;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235679319;1;0;0;0;0;0;1;0;0;0;0;0;0;0
669235680890;1;148;0;0;0;0;0;0;0;0;0;0;0;0
669235682782;0;0;0;0;0;0;1;234;0;0;0;0;0;0
669235663363;1;299;0;0;0;0;1;210;0;0;0;0;0;0
669235663913;1;0;0;0;0;0;1;62;0;0;0;0;0;0
669235665035;0;0;0;0;0;0;1;183;0;0;0;0;0;0
669235665895;0;0;0;0;0;0;1;5;0;0;0;0;0;0
